watermelon_3.0, 17, 18, 1
色泽-浅白 色泽-青绿 色泽-乌黑 根蒂-蜷缩 根蒂-稍蜷 根蒂-硬挺 敲声-清脆 敲声-浊响 敲声-沉闷 纹理-清晰 纹理-稍糊 纹理-模糊 脐部-平坦 脐部-稍凹 脐部-凹陷 触感(1硬滑/0软黏) 密度 含糖率 好瓜
0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0.697 0.46 1
0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0.774 0.376 1
0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0.634 0.264 1
0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0.608 0.318 1
1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0.556 0.215 1
0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0.403 0.237 1
0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0.481 0.149 1
0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0.437 0.211 1
0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0.666 0.091 0
0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0.243 0.267 0
1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0.245 0.057 0
1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0.343 0.099 0
0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0.639 0.161 0
1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0.657 0.198 0
0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0.36 0.37 0
1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0.593 0.042 0
0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0.719 0.103 0
